"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
53,118,"KEN","Kenya",1,"Central",4,"Murang'a",14,"Kandara",53,"Muruka",NA,"Kata","Location"
54,118,"KEN","Kenya",1,"Central",4,"Murang'a",14,"Kandara",54,"Ruchu",NA,"Kata","Location"
55,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",55,"Aberdare Forest and National Park",NA,"Kata","Location"
56,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",56,"Gitugi",NA,"Kata","Location"
57,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",57,"Iyego",NA,"Kata","Location"
58,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",58,"Kamacharia",NA,"Kata","Location"
59,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",59,"Kanyenyaini",NA,"Kata","Location"
60,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",60,"Kiriti",NA,"Kata","Location"
61,118,"KEN","Kenya",1,"Central",4,"Murang'a",15,"Kangema",61,"Kiru",NA,"Kata","Location"
62,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",62,"Kamahuha",NA,"Kata","Location"
63,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",63,"Kigumo",NA,"Kata","Location"
64,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",64,"Kinyona",NA,"Kata","Location"
65,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",65,"Muthithi",NA,"Kata","Location"
66,118,"KEN","Kenya",1,"Central",4,"Murang'a",16,"Kigumo",66,"Nginda",NA,"Kata","Location"
67,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",67,"Gaturi",NA,"Kata","Location"
68,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",68,"Gikindu",NA,"Kata","Location"
69,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",69,"Mbiri",NA,"Kata","Location"
70,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",70,"Mugoiri",NA,"Kata","Location"
71,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",71,"Murarandia",NA,"Kata","Location"
72,118,"KEN","Kenya",1,"Central",4,"Murang'a",17,"Kiharu",72,"Weithaga",NA,"Kata","Location"
73,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",73,"Ithaanga",NA,"Kata","Location"
74,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",74,"Kakuzi",NA,"Kata","Location"
75,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",75,"Kambiti",NA,"Kata","Location"
76,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",76,"Makuyu",NA,"Kata","Location"
77,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",77,"Mitumbiri",NA,"Kata","Location"
78,118,"KEN","Kenya",1,"Central",4,"Murang'a",18,"Makuyu",78,"Samuru",NA,"Kata","Location"
79,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",79,"Engineer",NA,"Kata","Location"
80,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",80,"Magumu",NA,"Kata","Location"
81,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",81,"Njabini",NA,"Kata","Location"
82,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",82,"North Kinangop",NA,"Kata","Location"
83,118,"KEN","Kenya",1,"Central",5,"Nyandarua",19,"Kinangop",83,"Nyakio",NA,"Kata","Location"
84,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri",84,"Geta",NA,"Kata","Location"
85,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri",85,"Kipipiri",NA,"Kata","Location"
86,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri",86,"Lereshwa",NA,"Kata","Location"
87,118,"KEN","Kenya",1,"Central",5,"Nyandarua",20,"Kipipiri",87,"Wanjohi",NA,"Kata","Location"
88,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",88,"Kiriita",NA,"Kata","Location"
89,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",89,"Leshau",NA,"Kata","Location"
90,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",90,"Mathingira",NA,"Kata","Location"
91,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",91,"Ndaragwa",NA,"Kata","Location"
92,118,"KEN","Kenya",1,"Central",5,"Nyandarua",21,"Ndaragwa",92,"Shamata",NA,"Kata","Location"
93,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",93,"Dundori",NA,"Kata","Location"
94,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",94,"Kaimbaga",NA,"Kata","Location"
95,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",95,"OL-KALOU",NA,"Kata","Location"
96,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",96,"Rurii",NA,"Kata","Location"
97,118,"KEN","Kenya",1,"Central",5,"Nyandarua",22,"Ol-Kalou",97,"Tumaini",NA,"Kata","Location"
98,118,"KEN","Kenya",1,"Central",5,"Nyandarua",23,"Ol Joro Orok",98,"Gathanji",NA,"Kata","Location"
99,118,"KEN","Kenya",1,"Central",5,"Nyandarua",23,"Ol Joro Orok",99,"Ol Joro Orok",NA,"Kata","Location"
100,118,"KEN","Kenya",1,"Central",6,"Nyeri",24,"Aberdare Forest and National Park",100,"Aberdare Forest and National Park",NA,"Kata","Location"
