"ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","ID_5","NAME_5","TYPE_5","ENGTYPE_5","Shape_Length","Shape_Area"
118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",5,"Ngenda",37,"Kahunguini","Kata Ndogo","Sub location",0.130930468929344,0.000692321640143548
118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",5,"Ngenda",38,"Kimunyu","Kata Ndogo","Sub location",0.20481659828037,0.000904871022156422
118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",5,"Ngenda",39,"Wamwangi","Kata Ndogo","Sub location",0.158905489173638,0.000699116617965474
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",6,"Githunguri",40,"Giathieko","Kata Ndogo","Sub location",0.123950164686926,0.000471146887548727
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",6,"Githunguri",41,"Githunguri","Kata Ndogo","Sub location",0.160780704519491,0.00131750425930532
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",6,"Githunguri",42,"Kanjai","Kata Ndogo","Sub location",0.135411439060476,0.000657578804294114
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",6,"Githunguri",43,"Kiairia","Kata Ndogo","Sub location",0.155053432813157,0.00105213894471495
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",6,"Githunguri",44,"Kimathi","Kata Ndogo","Sub location",0.192332460103245,0.000785325774131605
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",6,"Githunguri",45,"Nyaga","Kata Ndogo","Sub location",0.164916981469966,0.00073548818409122
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",7,"Ikinu",46,"Gathangari","Kata Ndogo","Sub location",0.147427184747559,0.000938138934998741
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",7,"Ikinu",47,"Githiga","Kata Ndogo","Sub location",0.17583693587363,0.00155333683096455
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",7,"Ikinu",48,"Gitiha","Kata Ndogo","Sub location",0.127753483894147,0.000808241051571737
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",7,"Ikinu",49,"Ikinu","Kata Ndogo","Sub location",0.186479713167954,0.00127392673062016
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",7,"Ikinu",50,"Riuki","Kata Ndogo","Sub location",0.133390406186351,0.00053932106607018
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",8,"Komothai",51,"Gathugu","Kata Ndogo","Sub location",0.196683708796254,0.0010719371127812
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",8,"Komothai",52,"Kiambururu","Kata Ndogo","Sub location",0.137068700567978,0.000529726909692091
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",8,"Komothai",53,"Kibichoi","Kata Ndogo","Sub location",0.137257041398885,0.000697265687222887
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",8,"Komothai",54,"Kiratina","Kata Ndogo","Sub location",0.152860834686301,0.00092178343652205
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",8,"Komothai",55,"Mbari-Ya-Igi","Kata Ndogo","Sub location",0.122246546987363,0.00060965538295969
118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",8,"Komothai",56,"Thuita","Kata Ndogo","Sub location",0.0754673631251108,0.000193572640453594
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",9,"Kiambaa",57,"Gathanga","Kata Ndogo","Sub location",0.104803889474667,0.000423466477741089
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",9,"Kiambaa",58,"Kanunga","Kata Ndogo","Sub location",0.1477097730172,0.000582047219268364
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",9,"Kiambaa",59,"Karuri","Kata Ndogo","Sub location",0.112225531552796,0.000761660961644181
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",9,"Kiambaa",60,"Kiambaa","Kata Ndogo","Sub location",0.0942910154332184,0.000400272391061195
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",9,"Kiambaa",61,"Muchatha","Kata Ndogo","Sub location",0.0987942915914116,0.000604167984193034
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",10,"Kiambaas/Area",62,"Anmer","Kata Ndogo","Sub location",0.291424638049194,0.00318195966224049
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",10,"Kiambaas/Area",63,"Cianda","Kata Ndogo","Sub location",0.312053809849178,0.00310007982466546
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",10,"Kiambaas/Area",64,"Kiambu Township","Kata Ndogo","Sub location",0.0489212690783266,0.000116954237910415
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",10,"Kiambaas/Area",65,"Thimbigua","Kata Ndogo","Sub location",0.305210841866179,0.00254804689575323
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",11,"Kihara",66,"Karura","Kata Ndogo","Sub location",0.1375654375329,0.000431659423383553
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",11,"Kihara",67,"Kihara","Kata Ndogo","Sub location",0.118437159260878,0.000593344452226886
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",11,"Kihara",68,"Ruaka","Kata Ndogo","Sub location",0.166389931657685,0.000570920165044483
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",12,"Ndumberi",69,"Ndumberi","Kata Ndogo","Sub location",0.108182862024051,0.000664805300402467
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",12,"Ndumberi",70,"Riabai","Kata Ndogo","Sub location",0.139103176619934,0.00071478879885917
118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",12,"Ndumberi",71,"Ting'ang'a","Kata Ndogo","Sub location",0.115195880573417,0.000745819865187736
118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",13,"Kabete",72,"Chura","Kata Ndogo","Sub location",0.0803271784650521,0.000249491259182571
118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",13,"Kabete",73,"Kibichiku","Kata Ndogo","Sub location",0.09325618169042,0.0003378572769182
118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",13,"Kabete",74,"Lower Kabete","Kata Ndogo","Sub location",0.0828103960383723,0.000391189559649402
118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",13,"Kabete",75,"Ruku","Kata Ndogo","Sub location",0.0738701905815924,0.00023126675932746
