"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,118,"KEN","Kenya",1,"Central","Mkoa","Province",NA,NA
2,118,"KEN","Kenya",2,"Coast","Mkoa","Province",NA,NA
3,118,"KEN","Kenya",3,"Eastern","Mkoa","Province",NA,NA
4,118,"KEN","Kenya",4,"Nairobi","National Capital Area","National Capital Area",NA,"Federal Area|Nairobi District|Masai District"
5,118,"KEN","Kenya",5,"North-Eastern","Mkoa","Province",NA,NA
6,118,"KEN","Kenya",6,"Nyanza","Mkoa","Province",NA,NA
7,118,"KEN","Kenya",7,"Rift Valley","Mkoa","Province",NA,NA
8,118,"KEN","Kenya",8,"Western","Mkoa","Province",NA,NA
